être			Etre			ETRE
ici		Ici		ICI
idée		Idée		IDEE
idiot		Idiot		IDIOT
image		Image		IMAGE
imaginer		Imaginer		IMAGINER
immeuble		Immeuble		IMMEUBLE
imiter		Imiter		IMITER
important		Important		IMPORTANT
impossible		Impossible		IMPOSSIBLE
impôts		Impôts		IMPÔTS
imprécis		Imprécis		IMPRECIS
impression		Impression		IMPRESSION
imprimer		Imprimer		IMPRIMER
incertain		Incertain		INCERTAIN
inconnu		Inconnu		INCONNU
incroyable		Incroyable		INCROYABLE
indéfinissable		Indéfinissable		INDEFINISSABLE
information		Information		INFORMATION
informatique		Informatique		INFORMATIQUE
informer		Informer		INFORMER
inquiéter		Inquiéter		INQUIETER
inscrire		Inscrire		INSCRIRE
intégrer		Intégrer		INTEGRER
intelligent		Intelligent		INTELLIGENT
interdit		Interdit		INTERDIT
intéressant		Intéressant		INTERESSANT
internat		Internat		INTERNAT
interrogation		Interrogation		INTERROGATION
interrogatoire		Interrogatoire		INTERROGATOIRE
interroger		Interroger		INTERROGER
intervenir		Intervenir		INTERVENIR
inutile		Inutile		INUTILE
invariable		Invariable		INVARIABLE
inviter		Inviter		INVITER
invulnérable		Invulnérable		INVULNERABLE
jaloux		Jaloux		JALOUX
jamais		Jamais		JAMAIS
jeter		Jeter		JETER
jeudi		Jeudi		JEUDI
jeune		Jeune		JEUNE
joindre		Joindre		JOINDRE
jouer		Jouer		JOUER
jour		Jour		JOUR
journée		Journée		JOURNEE
journal		Journal		JOURNAL
jusque		Jusque		JUSQUE
juste		Juste		JUSTE
justice		Justice		JUSTICE
kilo		Kilo		KILO
kilomètre		Kilomètre		KILOMETRE
laid		Laid		LAID
lait		Lait		LAIT
langue		Langue		LANGUE
langage		Langage		LANGAGE
laisser		Laisser		LAISSER
large		Large		LARGE
lavabo		Lavabo		LAVABO
laver		Laver		LAVER
leçon		Leçon		LEÇON
lecture		Lecture		LECTURE
léger		Léger		LEGER
légumes		Légumes		LEGUMES
lent		Lent		LENT
lentement		Lentement		LENTEMENT
lettre		Lettre		LETTRE
lever		Lever		LEVER
libre		Libre		LIBRE
licencier		Licencier		LICENCIER
lieux		Lieux		LIEUX
limonade		Limonade		LIMONADE
lire		Lire		LIRE
liste		Liste		LISTE
litre		Litre		LITRE
livre		Livre		LIVRE
locution		Locution		LOCUTION
long		Long		LONG
longtemps		Longtemps		LONGTEMPS
lourd		Lourd		LOURD
lui		Lui		LUI
lumière		Lumière		LUMIERE
lundi		Lundi		LUNDI
lune		Lune		LUNE
lunette		Lunette		LUNETTE
machine		Machine		MACHINE
magasin		Magasin		MAGASIN
main		Main		MAIN
maintenant		Maintenant		MAINTENANT
mairie		Mairie		MAIRIE
maison		Maison		MAISON
mal		Mal		MAL
malade		Malade		MALADE
maladie		Maladie		MALADIE
maladroit		Maladroit		MALADROIT
malheureux		Malheureux		MALHEUREUX
malin		Malin		MALIN
malpoli		Malpoli		MALPOLI
maman		Maman		MAMAN
manger		Manger		MANGER
manquer		Manquer		MANQUER
manteau		Manteau		MANTEAU
marcher		Marcher		MARCHER
mardi		Mardi		MARDI
mariage		Mariage		MARIAGE
marier		Marier		MARIER
marrant		Marrant		MARRANT
masque		Masque		MASQUE
mathématiques		Mathématiques		MATHEMATIQUES
matin		Matin		MATIN
mauvais		Mauvais		MAUVAIS
maximum		Maximum		MAXIMUM
mécanicien		Mécanicien		MECANICIEN
méchant		Méchant		MECHANT
médecin		Médecin		MEDECIN
médicament		Médicament		MEDICAMENT
meilleur		Meilleur		MEILLEUR
mélanger		Mélanger		MELANGER
membre		Membre		MEMBRE
même		Même		MÊME
ménage		Ménage		MENAGE
mentalité		Mentalité		MENTALITE
mentir		Mentir		MENTIR
merci		Merci		MERCI
mercredi		Mercredi		MERCREDI
mesurer		Mesurer		MESURER
météo		Météo		METEO
métier		Métier		METIER
métro		Métro		METRO
mettre		Mettre		METTRE
meubles		Meubles		MEUBLES
midi		Midi		MIDI
mieux		Mieux		MIEUX
mignon		Mignon		MIGNON
milieu		Milieu		MILIEU
millénaire		Millénaire		MILLENAIRE
million		Million		MILLION
minimum		Minimum		MINIMUM
ministère		Ministère		MINISTERE
minitel		Minitel		MINITEL
ministère		Ministère		MINISTERE
minuit		Minuit		MINUIT
minute		Minute		MINUTE
miroir		Miroir		MIROIR
misère		Misère		MISERE
moche		Moche		MOCHE
modérer		Modérer		MODERER
moderne		Moderne		MODERNE
moelleux		Moelleux		MOELLEUX
moi		Moi		MOI
moins		Moins		MOINS
mois		Mois		MOIS
moitié		Moitié		MOITIE
moment		Moment		MOMENT
momentané		Momentané		MOMENTANE
monde		Monde		MONDE
montagne		Montagne		MONTAGNE
monter		Monter		MONTER
montrer		Montrer		MONTRER
moquer		Moquer		MOQUER
moral		Moral		MORAL
mordre		Mordre		MORDRE
mort		Mort		MORT
mots		Mots		MOTS
moteur		Moteur		MOTEUR
mouchoir		Mouchoir		MOUCHOIR
mouiller		Mouiller		MOUILLER
moule		Moule		MOULE
multiplication		Multiplication		MULTIPLICATION
musée		Musée		MUSEE
musique		Musique		MUSIQUE
natation		Natation		NATATION
nation		Nation		NATION
naissance		Naissance		NAISSANCE
naître		Naître		NAÎTRE
nager		Nager		NAGER
national		National		NATIONAL
nature		Nature		NATURE
naturel		Naturel		NATUREL
neiger		Neiger		NEIGER
nettoyer		Nettoyer		NETTOYER
neuf		Neuf		NEUF
neutre		Neutre		NEUTRE
neuve		Neuve		NEUVE
noël		Noël		NOËL
nom		Nom		NOM
normal		Normal		NORMAL
noter		Noter		NOTER
nouer		Nouer		NOUER
nourrir		Nourrir		NOURRIR
nourrice		Nourrice		NOURRICE
nous		Nous		NOUS
nouveau		Nouveau		NOUVEAU
nouvelles		Nouvelles		NOUVELLES
noyer		Noyer		NOYER
nuire		Nuire		NUIRE
nuit		Nuit		NUIT
obéir		Obéir		OBEIR
obligatoire		Obligatoire		OBLIGATOIRE
obliger		Obliger		OBLIGER
obscur		Obscur		OBSCUR
obséder		Obséder		OBSEDER
observer		Observer		OBSERVER
occasion		Occasion		OCCASION
occupation		Occupation		OCCUPATION
occuper		Occuper		OCCUPER
oeufs		Oeufs		OEUFS
officielle		Officielle		OFFICIELLE
offrir		Offrir		OFFRIR
oignon		Oignon		OIGNON
oiseau		Oiseau		OISEAU
oncle		Oncle		ONCLE
opérer		Opérer		OPERER
opinion		Opinion		OPINION
opposer		Opposer		OPPOSER
orage		Orage		ORAGE
oral		Oral		ORAL
orange		Orange		ORANGE
orchestre		Orchestre		ORCHESTRE
ordinaire		Ordinaire		ORDINAIRE
ordinateur		Ordinateur		ORDINATEUR
ordonner		Ordonner		ORDONNER
original		Original		ORIGINAL
organiser		Organiser		ORGANISER
orthophoniste		Orthophoniste		ORTHOPHONISTE
oublier		Oublier		OUBLIER
oui		Oui		OUI
ouvrier		Ouvrier		OUVRIER
ouvrir		Ouvrir		OUVRIR
pâques		Pâques		PAQUES
pages		Pages		PAGES
pain		Pain		PAIN
pantalon		Pantalon		PANTALON
papa		Papa		PAPA
papier		Papier		PAPIER
papillon		Papillon		PAPILLON
pardon		Pardon		PARDON
pardonner		Pardonner		PARDONNER
pareil		Pareil		PAREIL
parents		Parents		PARENTS
paresseux		Paresseux		PARESSEUX
parfait		Parfait		PARFAIT
parler		Parler		PARLER
partager		Partager		PARTAGER
participer		Participer		PARTICIPER
partir		Partir		PARTIR
partout		Partout		PARTOUT
pas		Pas		PAS
passeport		Passeport		PASSEPORT
passer		Passer		PASSER
pattes		Pattes		PATTES
patient		Patient		PATIENT
patiner		Patiner		PATINER
patron		Patron		PATRON
paumer		Paumer		PAUMER
paupières		Paupières		PAUPIERES
pauvres		Pauvres		PAUVRES
payer		Payer		PAYER
pays		Pays		PAYS
paysage		Paysage		PAYSAGE
peau		Peau		PEAU
pêcher		Pêcher		PÊCHER
pédicure		Pédicure		PEDICURE
peigner		Peigner		PEIGNER
peindre		Peindre		PEINDRE
peine		Peine		PEINE
pellicule		Pellicule		PELLICULE
penser		Penser		PENSER
perception		Perception		PERCEPTION
percevoir		Percevoir		PERCEVOIR
perdre		Perdre		PERDRE
permettre		Permettre		PERMETTRE
permis		Permis		PERMIS
personne		Personne		PERSONNE
personnes		Personnes		PERSONNES
petit		Petit		PETIT
petites		Petites		PETITES
peur		Peur		PEUR
peut		Peut		PEUT
photo		Photo		PHOTO
photocopie		Photocopie		PHOTOCOPIE
phrase		Phrase		PHRASE
physionomie		Physionomie		PHYSIONOMIE
pièce		Pièce		PIECE
pied		Pied		PIED
pieds		Pieds		PIEDS
pierre		Pierre		PIERRE
pile		Pile		PILE
pilule		Pilule		PILULE
pipe		Pipe		PIPE
pipi		Pipi		PIPI
piquant		Piquant		PIQUANT
piquer		Piquer		PIQUER
piqûre		Piqûre		PIQÛRE
piscine		Piscine		PISCINE
pizza		Pizza		PIZZA
placard		Placard		PLACARD
place		Place		PLACE
plafond		Plafond		PLAFOND
plaindre		Plaindre		PLAINDRE
plan		Plan		PLAN
plante		Plante		PLANTE
plastique		Plastique		PLASTIQUE
pleines		Pleines		PLEINES
pleurer		Pleurer		PLEURER
pleuvoir		Pleuvoir		PLEUVOIR
pluie		Pluie		PLUIE
plus		Plus		PLUS
plusieurs		Plusieurs		PLUSIEURS
poésie		Poésie		POESIE
point		Point		POINT
